galaxy,r_max,M_bar_max,V_max,g0,mass_norm,slope_3,slope_5,slope_8,slope_original,slope_g_schwach,delta_g_schwach,slope_g_mittel,delta_g_mittel,slope_g_stark,delta_g_stark,slope_g_phase_halb,delta_g_phase_halb,slope_g_phase_ganz,delta_g_phase_ganz,q,regime_q,groesse
NGC2403,20.87,77278.642286,136.0,3751.5625,0.030982888006098892,2.4070236971057306,2.433381763021532,2.349895663968578,2.433381763021532,2.4340223414870397,-0.0006405784655076907,2.435171849420969,-0.0017900863994371186,2.436840475193904,-0.003458712172371925,2.4352455774644493,-0.0018638144429172776,2.4351904269771,-0.0018086639555678907,1.1245437270657133,Peak,Uebergang
NGC2683,34.62,425055.909258,212.0,12360.207612456747,0.17041525631535276,1.1756766100069007,0.9312206312417519,0.7938171558806107,0.9312206312417519,0.9315080006876323,-0.00028736944588036994,0.9349815134464541,-0.003760882204702165,0.94217851561639,-0.010957884374638072,0.9329074125956994,-0.0016867813539475085,0.9345852675771997,-0.0033646363354478126,2.9999999999490177,Diffus,Gross
NGC2841,63.64,1119916.9979640003,323.0,23611.918604651164,0.4490019738653086,1.670208697497697,1.4345235552015858,1.2784382217945416,1.4345235552015858,1.4360037165274737,-0.0014801613258879076,1.4486271825445989,-0.01410362734301307,1.4653584212207802,-0.030834866019194385,1.4497848890282294,-0.01526133382664363,1.4489921849642566,-0.014468629762670826,2.999999999999976,Diffus,Gross
NGC2903,24.96,396167.486208,216.0,6050.0,0.15883318461281837,2.8510680493991263,2.7345578654883895,2.561306952619802,2.7345578654883895,2.7380791129247175,-0.003521247436327979,2.7460737465732943,-0.011515881084904755,2.758100714971877,-0.023542849483487505,2.7465878717532237,-0.012030006264834192,2.746209270935787,-0.011651405447397511,0.4973205052476155,Peak,Uebergang
NGC2915,10.04,6772.643644,86.5,536.0294117647059,0.0027153176261908,2.85562192765469,2.824269821128894,2.7019231290590286,2.824269821128894,2.8243245524335236,-5.473130462974041e-05,2.8244499652250843,-0.00018014409619038219,2.824635854444808,-0.00036603331591411603,2.8244756475097903,-0.00020582638089639005,2.824459506272337,-0.00018968514344308574,1.6571105224464855,Transition,Klein
NGC2955,35.43,1624012.070403,276.0,38081.333333333336,0.6511059538498701,1.5579837133702128,1.5185689679898733,1.4422452525897995,1.5185689679898733,1.5274095719930543,-0.008840604003180985,1.5416120076523043,-0.023043039662431042,1.5404434478928468,-0.02187447990297353,1.5563157313607439,-0.03774676337087057,1.5457856337036693,-0.027216665713795996,0.2337994971884741,Peak,Gross
NGC2976,2.27,14339.177086999998,88.7,420.3636363636363,0.005748924989416193,2.8377204577892474,3.1851300936231413,2.961790834711951,3.1851300936231413,3.185307444196255,-0.00017735057311352165,3.1856754319445577,-0.0005453383214164553,3.1862288664166343,-0.0010987727934930192,3.185763684424244,-0.0006335908011028124,3.1857135897905846,-0.0005834961674433536,2.999999999999997,Diffus,Klein
NGC2998,42.28,890981.00546,214.0,24545.454545454544,0.3572159640895967,1.5591060737532083,1.659095194887058,1.4444818394474492,1.659095194887058,1.66423319461161,-0.005137999724551978,1.6695841292038103,-0.01048893431675224,1.667591111776057,-0.008495916888998867,1.6739821795670513,-0.014886984679993276,1.6707554876944017,-0.011660292807343708,3.0,Diffus,Gross
NGC3109,6.45,3457.2806250000003,67.3,143.11538461538458,0.0013861079237598886,2.657561538697965,2.690583047898626,2.7793107991701897,2.690583047898626,2.6906124714249353,-2.9423526309191317e-05,2.690674246040545,-9.119814191871356e-05,2.690764599151672,-0.00018155125304586406,2.690703022153357,-0.0001199742547308702,2.6906862314182205,-0.00010318351959437422,0.7093433205593073,Peak,Klein
NGC3198,44.08,268865.584133,157.0,1860.4999999999995,0.10779475461095445,2.1904502216988497,2.2190683708208363,2.203261386009362,2.2190683708208363,2.2209752652052237,-0.001906894384387403,2.2243164231211945,-0.005248052300358186,2.2286933898443,-0.00962501902346391,2.224585486656205,-0.0055171158353686245,2.224384574933533,-0.005316204112696621,0.686976413259879,Peak,Gross
NGC3521,17.74,425044.487818,220.0,40096.078431372545,0.17041067718215475,1.8323154156826866,1.6776569074801488,1.560880711545019,1.6776569074801488,1.679694261554202,-0.0020373540740532547,1.679162640323595,-0.0015057328434462391,1.6749881794805581,0.0026687279995907254,1.6850927121730366,-0.0074358046928877375,1.6807295584659663,-0.003072650985817438,0.3508870078125967,Peak,Uebergang
NGC3726,32.52,396418.00471,169.0,2972.5714285714284,0.15893362357578822,2.0184273471387066,1.9064663826349348,1.519492161385699,1.9064663826349348,1.9066762253590641,-0.00020984272412927218,1.9101334463044672,-0.0036670636695324,1.9187748532105178,-0.01230847057558293,1.9072221356670673,-0.000755753032132489,1.9094559368676869,-0.0029895542327520452,3.0,Diffus,Gross
NGC3741,7.0,1365.6664,51.6,746.1304347826086,0.0005475288886196912,2.0246349307698255,1.9671203517052078,1.7950482157982675,1.9671203517052078,1.9671284395459072,-8.087840699388948e-06,1.9671359329934608,-1.5581288252963787e-05,1.9671419447414997,-2.1593036291900347e-05,1.9671785361450715,-5.8184439863717685e-05,1.9671500369564845,-2.9685251276667657e-05,1.18629699533103,Peak,Klein
NGC3769,37.16,118251.57018399998,126.0,4400.14367816092,0.04740993173763294,1.5156384220056272,1.4697564895383821,1.2778396846062603,1.4697564895383821,1.47001580510676,-0.0002593155683778825,1.4715213310183715,-0.001764841479989343,1.4736296108788478,-0.0038731213404656906,1.471514288433169,-0.0017577988947867773,1.4715769645428778,-0.0018204750044956697,0.7044986410234806,Peak,Gross
NGC3877,11.35,419064.029215,171.0,1642.3448275862065,0.16801296581403682,3.1233412252253974,2.781966359735565,2.402457430198726,2.781966359735565,2.7841062597209536,-0.002139899985388549,2.791588614722374,-0.009622254986808798,2.803546139047842,-0.021579779312276948,2.7875861513811526,-0.0056197916455875685,2.7913580101894513,-0.009391650453886236,2.9999999999858367,Diffus,Klein
