galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
F567-2,1.7619268353389177,5,F567-2_rotmod.dat,2.4640275038970514,0.2741168007484732,0.0107768580525602,5.0,Peak,0.2380731646610823,0.4380731646610825
F568-1,2.75223749991198,5,F568-1_rotmod.dat,1.2259545134988934,0.8301975412606454,0.0034466412110239,12.0,Peak,0.7522374999119799,0.0
F568-3,2.963789777989989,5,F568-3_rotmod.dat,0.9384806330970888,2.7483275825199898,0.0065029890710043,18.0,Diffus,0.9637897779899891,0.16378977798998928
F568-V1,2.5628848032799127,5,F568-V1_rotmod.dat,1.019460228746292,0.6297637811320876,0.0062168077700511,15.0,Peak,0.5628848032799127,0.0
F571-8,2.4066559351087378,5,F571-8_rotmod.dat,3.0,0.3008435554047159,0.0042291869272446,9.0,Peak,0.40665593510873776,0.0
F571-V1,2.1781514589552966,5,F571-V1_rotmod.dat,1.842398474226813,0.5164712306466657,0.0006266366235068,7.0,Peak,0.1781514589552966,0.021848541044703573
F574-1,2.5717721068194646,5,F574-1_rotmod.dat,1.4450562345012918,0.539333600453951,0.0014210817173848,14.0,Peak,0.5717721068194646,0.0
F574-2,2.4456037504592896,5,,,,,,,0.44560375045928957,0.0
F579-V1,1.9771535764586998,5,F579-V1_rotmod.dat,0.5498960047993298,1.1636231153591994,0.0056995581671277,14.0,Peak,0.022846423541300176,0.22284642354130035
F583-1,1.5945618586446388,5,F583-1_rotmod.dat,1.5814349606790197,0.4463052662988264,0.0014183413310101,25.0,Peak,0.40543814135536116,0.6054381413553613
F583-4,2.170454360514501,5,F583-4_rotmod.dat,1.1714708779942575,3.0,0.0025216516559583,12.0,Diffus,0.1704543605145008,0.029545639485499375
IC2574,2.6045541750110677,5,IC2574_rotmod.dat,1.6393703316075554,3.0,0.0027528269141792,34.0,Diffus,0.6045541750110677,0.0
IC4202,3.0868271178810636,5,IC4202_rotmod.dat,1.0329055930307276,2.999999999999999,0.008540685949901,28.0,Diffus,1.0868271178810636,0.28682711788106374
