filename,p,q,MSE,n_points
NGC3521_rotmod.dat,2.9999999999999996,0.3508870078125967,0.0027091416503411516,32
NGC3198_rotmod.dat,0.9957679896021264,0.686976413259879,0.0024803480848587154,39
NGC3109_rotmod.dat,1.963201046119353,0.7093433205593073,0.00039658502438550764,25
NGC2998_rotmod.dat,0.43141215574223296,2.9999999999999996,0.013004796929709912,13
NGC2976_rotmod.dat,1.9681419391429793,2.999999999999997,0.003262806447665458,24
NGC2955_rotmod.dat,2.9999999999999956,0.23379949718847412,0.004325712366205279,11
NGC2915_rotmod.dat,0.6404408676026918,1.6571105224464855,0.014199679992374826,27
NGC2903_rotmod.dat,1.8250555592149027,0.49732050524761556,0.0036686401337029835,23
NGC2841_rotmod.dat,0.4415993106148548,2.999999999999976,0.006576831504921245,50
NGC2683_rotmod.dat,0.6346441970091058,2.9999999999490177,0.034966115236369874,11
NGC2403_rotmod.dat,1.010354102837303,1.1245437270657133,0.00223406150068178,73
NGC2366_rotmod.dat,2.9999999999999996,0.23630443869923815,0.005609913624628551,26
NGC1705_rotmod.dat,0.4630549132544225,1.6488686687272214,0.0013752362896760728,14
NGC1090_rotmod.dat,0.6190055244728098,2.2992685624329368,0.006954876195371914,21
NGC1003_rotmod.dat,0.9092474883496094,1.638680003647974,0.0035980529782753045,36
NGC0891_rotmod.dat,2.9999999999999996,0.4782521201325272,0.016597864933084485,11
NGC0801_rotmod.dat,0.6856452583082766,2.9999999999999996,0.015053496550219321,11
NGC0300_rotmod.dat,1.0293811297999436,1.3320577909087532,0.004397119796424429,25
NGC0289_rotmod.dat,1.2140260918541035,0.5309712303149732,0.017876476644595924,28
NGC0247_rotmod.dat,0.9367083114392761,2.9999999999999942,0.0014162018751944687,26
NGC0100_rotmod.dat,1.5880951993947974,0.977171439892976,0.000995948203000535,20
NGC0055_rotmod.dat,2.371596385865066,0.3795513013209691,0.0012012682246519601,21
NGC0024_rotmod.dat,0.9416958641123461,0.6253058794361918,0.00448860850914208,29
KK98-251_rotmod.dat,2.9999999999999996,0.3625643640887768,0.003600200716452934,15
IC4202_rotmod.dat,1.0329055930307276,2.999999999999999,0.00854068594990102,28
IC2574_rotmod.dat,1.6393703316075554,2.9999999999999996,0.002752826914179283,34
F583-4_rotmod.dat,1.1714708779942575,2.9999999999999996,0.002521651655958379,12
F583-1_rotmod.dat,1.5814349606790195,0.4463052662988264,0.0014183413310101098,25
F579-V1_rotmod.dat,0.5498960047993298,1.1636231153591994,0.005699558167127773,14
F574-1_rotmod.dat,1.4450562345012918,0.539333600453951,0.0014210817173848343,14
F571-V1_rotmod.dat,1.842398474226813,0.5164712306466657,0.0006266366235068144,7
F571-8_rotmod.dat,2.9999999999999996,0.30084355540471597,0.004229186927244641,9
F568-V1_rotmod.dat,1.019460228746292,0.6297637811320876,0.00621680777005112,15
F568-3_rotmod.dat,0.9384806330970888,2.7483275825199898,0.006502989071004331,18
F568-1_rotmod.dat,1.2259545134988934,0.8301975412606454,0.003446641211023968,12
F567-2_rotmod.dat,2.4640275038970514,0.2741168007484732,0.010776858052560274,5
F565-V2_rotmod.dat,2.1063688571139862,0.5670040595578781,0.000828111480709445,7
F563-V2_rotmod.dat,1.3318690468094994,0.5260080260318406,0.005456966831376397,10
F563-V1_rotmod.dat,0.9813224400676283,1.2593809947170418,0.20993836060321,6
F563-1_rotmod.dat,0.8120723103311142,1.3643710860071374,0.009781830661980469,17
F561-1_rotmod.dat,2.5155108627616563,0.20000000000000004,0.03026073509221469,6
ESO563-G021_rotmod.dat,0.7069138184439013,2.441721243466887,0.0073084498006818314,27
ESO444-G084_rotmod.dat,1.4062130704815963,0.703948088461353,0.00037980575481466687,7
ESO116-G012_rotmod.dat,1.6997680842730598,0.5793447164038469,0.0016288419849842478,15
ESO079-G014_rotmod.dat,2.1275089994297827,0.46208237525485557,0.0026137934725979383,15
DDO170_rotmod.dat,1.1341006273770096,1.2031693859299848,0.003584891707033919,8
DDO168_rotmod.dat,2.999999999999987,0.32270563694710985,0.005674208552146979,10
DDO161_rotmod.dat,2.403306348260951,0.43682541625084853,0.0005569484760052747,31
DDO154_rotmod.dat,2.174129181724405,0.4186737825173218,0.0008867271835759378,12
DDO064_rotmod.dat,2.9999999999999996,0.2743817236319073,0.004638721915392439,14
D631-7_rotmod.dat,2.9999999999999996,0.348322941866935,0.0010815368852042909,14
D564-8_rotmod.dat,2.2101742352995437,0.5571372187412436,0.00031524519203391,6
