galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
NGC6195,251.0,4.979959839195493,5,NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195.538,27.80631,223.34431,2.4008832155483626,2.399673721481038,2.3489748927063148,0.2222568453273354,0.2275548518635042
NGC2998,209.66666666666663,4.714045207910316,3,NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",75.451,31.18983,106.64083,2.3220124385824006,2.3215293907256065,2.027923516591636,0.1733091063558491,0.1761923561000928
NGC5585,90.76,1.121784292990411,5,NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1.4715,2.2383900000000003,3.709890000000001,1.9556877503135055,1.9578944872128985,0.5693610327683507,-0.0214357267762312,-0.0274065361619777
NGC2403,134.26666666666668,1.0624918300339483,15,NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",5.0205,4.25467,9.27517,2.1179338350396413,2.127968207161918,0.9673218783286276,-0.1832227557078792,-0.2163979450624406
NGC3109,66.16,0.9604165762834342,5,NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",0.097,0.63441,0.73141,1.8208579894397,1.8205954965444904,-0.1358391061867493,-0.2614741196419968,-0.2587653777540118
UGC02916,200.44444444444449,13.64723098581712,9,UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62.0765,30.95309,93.02959,2.2617385473525378,2.301994023766598,1.968621106938608,0.3219512061818748,0.1843096964339825
UGC06983,108.5,0.5,4,UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",2.649,3.946110000000001,6.59511,2.037426497940624,2.0354297381845483,0.8192220435510131,-0.0535728321585315,-0.0451323716694471
UGC05005,99.5,0.3741657386773956,3,UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",2.05,4.11369,6.16369,1.9951962915971797,1.9978230807457251,0.7898407879511605,0.0627398331765881,0.0552731050551681
NGC6674,243.33333333333331,1.8856180831641267,3,NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107.327,42.77945,150.10645,2.3825573219087857,2.3862016054007933,2.176399354063552,0.1129055134827408,0.1014737916623649
UGC02487,331.0,1.5811388300841898,4,UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244.9775,23.890790000000003,268.86829,2.521138083704036,2.519827993775719,2.429539585079066,-0.1120569289271067,-0.1065525228390846
