galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
UGC02916,182.0,10.8,43,UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62.0765,30.95309,93.02959,2.2617385473525378,2.2600713879850747,10.968621106938608,0.33190028365096325,0.3375033486239971
UGC02953,263.0,5.04,115,UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129.759,10.21174,139.97073999999998,2.423081958297231,2.419955748489758,11.14603725864499,-0.04139075843043649,-0.034035640331884665
UGC03205,220.0,4.09,48,UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",56.821,12.87041,69.69140999999999,2.3416323357780544,2.342422680822206,10.843179251275886,-0.06623993488430813,-0.07068764773283398
UGC03546,191.0,14.6,30,UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50.668,3.55775,54.22575,2.2942457161381182,2.2810333672477277,10.734205567483997,-0.013470711592475482,0.031115877465961006
UGC03580,127.0,1.92,47,UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6.633,5.8121,12.4451,2.1010593549081156,2.103803720955957,10.094998390641173,0.006717609949918213,0.0004180326335809781
UGC04278,91.3,8.07,25,UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",0.6535,1.4842800000000003,2.1377800000000002,1.9609461957338314,1.9604707775342989,9.3299630097118,-0.28007497042244545,-0.27249068957067024
UGC04325,91.6,3.05,8,UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",1.013,0.9017400000000001,1.91474,1.9585638832219674,1.9618954736678504,9.282109810037621,-0.31979671539108523,-0.32523551381604676
UGC04499,73.3,2.66,9,UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",0.776,1.4630000000000003,2.2390000000000003,1.8621313793130372,1.865103974641128,9.35005409357903,0.07729688578698024,0.0750376528969543
UGC05005,99.4,10.0,11,UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",2.05,4.11369,6.16369,1.9951962915971795,1.9973863843973134,9.78984078795116,0.06289828677432752,0.06063915601191461
UGC05253,213.0,6.5,73,UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",85.791,21.806680000000004,107.59768,2.3298045221640695,2.3283796034387376,11.031802907259177,0.1627551376065668,0.16615222837379306
UGC05716,73.0,1.07,12,UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,0.294,1.4550200000000002,1.7490200000000002,1.8639173769578603,1.863322860120456,9.24279477565362,-0.03605850848473757,-0.026106295337857688
